ingredient,description,label,sccs opinions,chemical iupac name,identified ingredient substance,cmr
"2-chlorobenzene-1,4-diamine (2-Chloro-p-Phenylenediamine), its sulfate and dihydrochloride salts when used as a substance in hair dye products, including eyebrow dye products, and eyelash dye products",,unsafe,,"2-chlorobenzene-1,4-diamine (2-Chloro-p-Phenylenediamine), its sulfate and dihydrochloride salts when used as a substance in hair dye products, including eyebrow dye products, and eyelash dye products",,
"Cis-1-(3-chloroallyl)-3,5,7- triaza-1-azoniaadamantane chloride (cis-CTAC)",,unsafe,"Opinion on the new classification of substances as carcinogenic, mutagenic or toxic to reproduction according to the Commission Regulation 790/2009,Opinion on Quaternium-15","Cis-1-(3-chloroallyl)-3,5,7- triaza-1-azoniaadamantane chloride (cis-CTAC)",QUATERNIUM-15,
"Cis-1-(3-chlorallyl)-3,5,7-triaza-1-azoniaadamantane chloride (cis-CTAC), quaternium-15",,unsafe,"Opinion on the new classification of substances as carcinogenic, mutagenic or toxic to reproduction according to the Commission Regulation 790/2009,Opinion on Quaternium-15","Cis-1-(3-chlorallyl)-3,5,7-triaza-1-azoniaadamantane chloride (cis-CTAC), quaternium-15",,
2-Chloracetamide,,unsafe,Opinion on Chloroacetamide,2-Chloracetamide,CHLOROACETAMIDE,Reprotoxic Cat. 2()
Octamethylcyclotetrasiloxane; D4,,unsafe,"Opinion on Octamethylcyclotetrasiloxane (D4),Opinion on Cyclomethicone: D4 and D5",Octamethylcyclotetrasiloxane; D4,CYCLOMETHICONE,Reprotoxic Cat. 2()
Dichloromethane; methylene chloride,,unsafe,,Dichloromethane; methylene chloride,DICHLOROMETHANE46-DIMETHYL-PYRAN-2-ONE,Carcinogenic Cat. 2()
"2,2'-((3,3',5,5'-Tetramethyl-(1,1'-biphenyl)-4,4'-diyl)-bis(oxymethylene))-bis-oxirane",,unsafe,,"2,2'-((3,3',5,5'-Tetramethyl-(1,1'-biphenyl)-4,4'-diyl)-bis(oxymethylene))-bis-oxirane",,Carcinogenic Cat. 2()
Acetaldehyde; ethanal,,unsafe,Opinion concerning Acetaldehyde,Acetaldehyde; ethanal,ACETALDEHYDE,"Carcinogenic Cat. 1B(),Mutagenic Cat. 2()"
"1-Cyclopropyl-6,7-difluoro-1,4-dihydro-4-oxoquinoline-3-carboxylic acid",,unsafe,,"1-Cyclopropyl-6,7-difluoro-1,4-dihydro-4-oxoquinoline-3-carboxylic acid",,Reprotoxic Cat. 2()
N-Methyl-2-pyrrolidone; 1-methyl-2-pyrrolidone,,unsafe,Opinion on  N-Methyl-2-pyrrolidone NMP,N-Methyl-2-pyrrolidone; 1-methyl-2-pyrrolidone,METHYL PYRROLIDONE,Reprotoxic Cat. 1B()
Diboron trioxide; boric oxide,,unsafe,,Diboron trioxide; boric oxide,,Reprotoxic Cat. 1B()
"Boric acid [1];
Boric acid [2]",,unsafe,"Opinion on Boric acid, Borates and Tetraborates,Opinion on Sodium Perborate and Perboric Acid","Boric acid [1];
Boric acid [2]",,
"Borates, tetraborates, octaborates and boric acid salts and esters, including:
Disodium octaborate anhydrous [1]
Disodium octaborate tetrahydrate [2]
2-Aminoethanol, monoester with boric acid [3]
2-Hydroxypropyl ammonium dihydrogen orthoborate [4]
Potassium borate, boric acid potassium salt [5]
Trioctyldodecyl borate [6]
Zinc borate [7]
Sodium borate, disodium tetraborate anhydrous; boric acid, sodium salt [8]
Tetraboron disodium heptaoxide, hydrate [9]
Orthoboric acid, sodium salt [10]
Disodium tetraborate decahydrate; borax decahydrate [11]
Disodium tetraborate pentahydrate; borax pentahydrate [12]",,unsafe,,,MEA-BORATEMIPA-BORATEPHENYL MERCURIC BORATEPOTASSIUM BORATESODIUM BORATESODIUM PERBORATETRIOCTYLDODECYL BORATEZINC BORATECALCIUM FRUCTOBORATEPOTASSIUM ASCORBYLBORATESODIUM FRUCTOBORATEPOTASSIUM FRUCTOBORATEMAGNESIUM ASCORBYLBORATE,
"Sodium perborate [1];
Sodium peroxometaborate; sodium peroxoborate [2]",,unsafe,Opinion on Sodium Perborate and Perboric Acid,"Sodium perborate [1];
Sodium peroxometaborate; sodium peroxoborate [2]",SODIUM PERBORATE,Reprotoxic Cat. 1B()
"Perboric acid (H3BO2(O2)), monosodium salt trihydrate [1];
Perboric acid, sodium salt, tetrahydrate [2];
Perboric acid (HBO(O2)), sodium salt, tetrahydrate sodium peroxoborate hexahydrate [3]",,unsafe,,"Perboric acid (H3BO2(O2)), monosodium salt trihydrate [1];
Perboric acid, sodium salt, tetrahydrate [2];
Perboric acid (HBO(O2)), sodium salt, tetrahydrate sodium peroxoborate hexahydrate [3]",,
"Perboric acid, sodium salt [1];
Perboric acid, sodium salt, monohydrate [2];
Perboric acid (HBO(O2)), sodium salt, monohydrate [3]",,unsafe,,"Perboric acid, sodium salt [1];
Perboric acid, sodium salt, monohydrate [2];
Perboric acid (HBO(O2)), sodium salt, monohydrate [3]",,
Dibutyltin hydrogen borate,,unsafe,,Dibutyltin hydrogen borate,,"Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
Nickel bis(tetrafluoroborate),,unsafe,,Nickel bis(tetrafluoroborate),,"Carcinogenic Cat. 1A(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
Mancozeb (ISO); manganese ethylenebis(dithiocarbamate) (polymeric) complex with zinc salt,,unsafe,,Mancozeb (ISO); manganese ethylenebis(dithiocarbamate) (polymeric) complex with zinc salt,,Reprotoxic Cat. 2()
Maneb (ISO); manganese ethylenebis(dithiocarbamate) (polymeric),,unsafe,,Maneb (ISO); manganese ethylenebis(dithiocarbamate) (polymeric),,Reprotoxic Cat. 2()
"Benfuracarb (ISO); ethyl N-[2,3-dihydro-2,2-dimethylbenzofuran-7-yloxycarbonyl(methyl)aminothio]-N-isopropyl- ß-alaninate",,unsafe,,"Benfuracarb (ISO); ethyl N-[2,3-dihydro-2,2-dimethylbenzofuran-7-yloxycarbonyl(methyl)aminothio]-N-isopropyl- ß-alaninate",,Reprotoxic Cat. 2()
O-Isobutyl-N-ethoxy carbonylthiocarbamate,,unsafe,,O-Isobutyl-N-ethoxy carbonylthiocarbamate,,"Carcinogenic Cat. 1B(),Mutagenic Cat. 1B()"
Chlorpropham (ISO); isopropyl 3-chlorocarbanilate,,unsafe,,Chlorpropham (ISO); isopropyl 3-chlorocarbanilate,,Carcinogenic Cat. 2()
O-Hexyl-N-ethoxycarbonylthiocarbamate,,unsafe,,O-Hexyl-N-ethoxycarbonylthiocarbamate,,"Carcinogenic Cat. 1B(),Mutagenic Cat. 1B()"
Hydroxylammonium nitrate,,unsafe,,Hydroxylammonium nitrate,,Carcinogenic Cat. 2()
(4-Ethoxyphenyl)(3-(4-fluoro-3-phenoxyphenyl)propyl)dimethylsilane,,unsafe,,(4-Ethoxyphenyl)(3-(4-fluoro-3-phenoxyphenyl)propyl)dimethylsilane,,Reprotoxic Cat. 1B()
Phoxim (ISO); a-(diethoxy-phosphinothioylimino) phenylacetonitrile,,unsafe,,Phoxim (ISO); a-(diethoxy-phosphinothioylimino) phenylacetonitrile,,Reprotoxic Cat. 2()
Glufosinate ammonium (ISO); ammonium 2-amino-4-(hydroxymethylphosphinyl)butyrate,,unsafe,,Glufosinate ammonium (ISO); ammonium 2-amino-4-(hydroxymethylphosphinyl)butyrate,,Reprotoxic Cat. 1B()
Reaction mass of: dimethyl (2-(hydroxymethylcarbamoyl)ethyl)phosphonate; diethyl (2-(hydroxymethylcarbamoyl)ethyl)phosphonate; methyl ethyl (2-(hydroxymethylcarbamoyl)ethyl)phosphonate,,unsafe,,Reaction mass of: dimethyl (2-(hydroxymethylcarbamoyl)ethyl)phosphonate; diethyl (2-(hydroxymethylcarbamoyl)ethyl)phosphonate; methyl ethyl (2-(hydroxymethylcarbamoyl)ethyl)phosphonate,,"Carcinogenic Cat. 1B(),Mutagenic Cat. 1B()"
(4-Phenylbutyl)phosphinic acid,,unsafe,,(4-Phenylbutyl)phosphinic acid,,Carcinogenic Cat. 2()
"Reaction mass of: 4,7-bis(mercaptomethyl)-3,6,9-trithia-1,11-undecanedithiol; 4,8-bis(mercaptomethyl)-3,6,9-trithia-1,11-undecanedithiol; 5,7-bis(mercaptomethyl)-3,6,9-trithia-1,11-undecanedithiol",,unsafe,,"Reaction mass of: 4,7-bis(mercaptomethyl)-3,6,9-trithia-1,11-undecanedithiol; 4,8-bis(mercaptomethyl)-3,6,9-trithia-1,11-undecanedithiol; 5,7-bis(mercaptomethyl)-3,6,9-trithia-1,11-undecanedithiol",,Reprotoxic Cat. 2()
Potassium titanium oxide (K2Ti6O13),,unsafe,,Potassium titanium oxide (K2Ti6O13),,Carcinogenic Cat. 2()
Cobalt di(acetate),,unsafe,,Cobalt di(acetate),,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
Cobalt dinitrate,,unsafe,,Cobalt dinitrate,,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
Cobalt carbonate,,unsafe,,Cobalt carbonate,,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
Nickel dichloride,,unsafe,,Nickel dichloride,,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
"Nickel dinitrate [1];
Nitric acid, nickel salt [2]",,unsafe,,"Nickel dinitrate [1];
Nitric acid, nickel salt [2]",,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
Nickel matte,,unsafe,,Nickel matte,,Carcinogenic Cat. 1A()
"Slimes and sludges, copper electrolytic refining, decopperised, nickel sulfate",,unsafe,,"Slimes and sludges, copper electrolytic refining, decopperised, nickel sulfate",,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
"Slimes and sludges, copper electrolyte refining, decopperised",,unsafe,,"Slimes and sludges, copper electrolyte refining, decopperised",,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
"Nickel diperchlorate; perchloric acid, nickel(II) salt",,unsafe,,"Nickel diperchlorate; perchloric acid, nickel(II) salt",,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
"Nickel dipotassium bis(sulfate) [1];
Diammonium nickel bis(sulfate) [2]",,unsafe,,"Nickel dipotassium bis(sulfate) [1];
Diammonium nickel bis(sulfate) [2]",,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
Nickel bis(sulfamidate); nickel sulfamate,,unsafe,,Nickel bis(sulfamidate); nickel sulfamate,,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
"Nickel diformate [1];
Formic acid, nickel salt [2];
Formic acid, copper nickel salt  [3]",,unsafe,,"Nickel diformate [1];
Formic acid, nickel salt [2];
Formic acid, copper nickel salt  [3]",,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
"Nickel di(acetate) [1];
Nickel acetate [2]",,unsafe,,"Nickel di(acetate) [1];
Nickel acetate [2]",,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
Nickel dibenzoate,,unsafe,,Nickel dibenzoate,,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
Nickel bis(4-cyclohexylbutyrate),,unsafe,,Nickel bis(4-cyclohexylbutyrate),,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
Nickel(II) stearate; nickel(II) octadecanoate,,unsafe,,Nickel(II) stearate; nickel(II) octadecanoate,,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
Nickel dilactate,,unsafe,,Nickel dilactate,,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
Nickel(II) octanoate,,unsafe,,Nickel(II) octanoate,,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
"Nickel difluoride [1];
Nickel dibromide [2];
Nickel diiodide [3];
Nickel potassium fluoride  [4]",,unsafe,,"Nickel difluoride [1];
Nickel dibromide [2];
Nickel diiodide [3];
Nickel potassium fluoride  [4]",,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
Nickel hexafluorosilicate,,unsafe,,Nickel hexafluorosilicate,,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
Nickel selenate,,unsafe,,Nickel selenate,,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
"Nickel hydrogen phosphate [1];
Nickel bis(dihydrogen phosphate) [2];
Trinickel bis(orthophosphate) [3];
Dinickel diphosphate [4];
Nickel bis(phosphinate) [5];
Nickel phosphinate [6];
Phosphoric acid, calcium nickel salt [7];
Diphosphoric acid, nickel(II) salt  [8]",,unsafe,,"Nickel hydrogen phosphate [1];
Nickel bis(dihydrogen phosphate) [2];
Trinickel bis(orthophosphate) [3];
Dinickel diphosphate [4];
Nickel bis(phosphinate) [5];
Nickel phosphinate [6];
Phosphoric acid, calcium nickel salt [7];
Diphosphoric acid, nickel(II) salt  [8]",,Carcinogenic Cat. 1A()
Diammonium nickel hexacyanoferrate,,unsafe,,Diammonium nickel hexacyanoferrate,,Carcinogenic Cat. 1A()
Nickel dicyanide,,unsafe,,Nickel dicyanide,,Carcinogenic Cat. 1A()
Nickel chromate,,unsafe,,Nickel chromate,,Carcinogenic Cat. 1A()
"Nickel(II) silicate [1];
Dinickel orthosilicate [2];
Nickel silicate (3:4) [3];
Silicic acid, nickel salt [4];
Trihydrogen hydroxybis[orthosilicato(4-)]trinickelate(3-)  [5]",,unsafe,,"Nickel(II) silicate [1];
Dinickel orthosilicate [2];
Nickel silicate (3:4) [3];
Silicic acid, nickel salt [4];
Trihydrogen hydroxybis[orthosilicato(4-)]trinickelate(3-)  [5]",,Carcinogenic Cat. 1A()
Dinickel hexacyanoferrate,,unsafe,,Dinickel hexacyanoferrate,,Carcinogenic Cat. 1A()
Trinickel bis(arsenate); nickel(II) arsenate,,unsafe,,Trinickel bis(arsenate); nickel(II) arsenate,,Carcinogenic Cat. 1A()
"Nickel oxalate [1];
Oxalic acid, nickel salt  [2]",,unsafe,,"Nickel oxalate [1];
Oxalic acid, nickel salt  [2]",,Carcinogenic Cat. 1A()
Nickel telluride,,unsafe,,Nickel telluride,,Carcinogenic Cat. 1A()
Trinickel tetrasulfide,,unsafe,,Trinickel tetrasulfide,,Carcinogenic Cat. 1A()
Trinickel bis(arsenite),,unsafe,,Trinickel bis(arsenite),,Carcinogenic Cat. 1A()
"Cobalt nickel gray periclase; C.I. Pigment Black 25; C.I. 77332 [1];
Cobalt nickel dioxide [2];
Cobalt nickel oxide  [3];
Nickel arsenide [2]",,unsafe,,"Cobalt nickel gray periclase; C.I. Pigment Black 25; C.I. 77332 [1];
Cobalt nickel dioxide [2];
Cobalt nickel oxide  [3];
Nickel arsenide [2]",,Carcinogenic Cat. 1A()
Nickel tin trioxide; nickel stannate,,unsafe,,Nickel tin trioxide; nickel stannate,,Carcinogenic Cat. 1A()
Nickel triuranium decaoxide,,unsafe,,Nickel triuranium decaoxide,,Carcinogenic Cat. 1A()
Nickel dithiocyanate,,unsafe,,Nickel dithiocyanate,,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
Nickel dichromate,,unsafe,,Nickel dichromate,,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
Nickel(II) selenite,,unsafe,,Nickel(II) selenite,,Carcinogenic Cat. 1A()
Nickel selenide,,unsafe,,Nickel selenide,,Carcinogenic Cat. 1A()
"Silicic acid, lead nickel salt",,unsafe,,"Silicic acid, lead nickel salt",,"Carcinogenic Cat. 1A(),Reprotoxic Cat. 1A()"
Nickel diarsenide [1]; Nickel arsenide [2],,unsafe,,Nickel diarsenide [1]; Nickel arsenide [2],,Carcinogenic Cat. 1A()
Nickel barium titanium primrose priderite; C.I. Pigment Yellow 157; C.I. 77900,,unsafe,,Nickel barium titanium primrose priderite; C.I. Pigment Yellow 157; C.I. 77900,,Carcinogenic Cat. 1A()
"Nickel dichlorate [1];
Nickel dibromate [2];
Ethyl hydrogen sulfate, nickel(II) salt [3]",,unsafe,,"Nickel dichlorate [1];
Nickel dibromate [2];
Ethyl hydrogen sulfate, nickel(II) salt [3]",,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
"Nickel(II) trifluoroacetate; [1] Nickel(II) propionate; [2] Nickel bis(benzenesulfonate); [3] Nickel(II) hydrogen citrate; [4] Citric acid, ammonium nickel salt; [5] Citric acid, nickel salt; [6] Nickel bis(2-ethylhexanoate); [7] 2-Ethylhexanoic acid, Nickel salt; [8] Dimethylhexanoic acid nickel salt; [9] Nickel(II) isooctanoate; [10] Nickel isooctanoate; [11] Nickel bis(isononanoate); [12] Nickel(II) neononanoate; [13] Nickel(II) isodecanoate; [14] Nickel(II) neodecanoate; [15] Neodecanoic acid, nickel salt; [16] Nickel(II) neoundecanoate; [17] Bis(D-gluconato-O1,O2)nickel; [18] Nickel 3,5-bis(tert-butyl)-4-hydroxybenzoate (1:2); [19] Nickel(II) palmitate; [20] (2-Ethylhexanoato-O)(Isononanoato-O)nickel; [21] (Isononanoato-O)(Isooctanoato-O)nickel; [22] (Isooctanoato-O)(neodecanoato-O)nickel; [23] (2-Ethylhexanoato-O)(Isodecanoato-O)nickel; [24] (2-Ethylhexanoato-O)(Neodecanoato-O)nickel; [25] (Isodecanoato-O)(isooctanoato-O)nickel; [26] (Isodecanoato-O)(isononanoato-O)nickel; [27] (Isononanoato-O)(Neodecanoato-O)nickel; [28] fatty acids, C6-19-branched, nickel salts; [29] fatty acids, C8-18 and C18-unsaturated, nickel salts; [30] 2,7-Naphthalenedisulfonic acid, nickel(II) salt; [31]",,unsafe,,"Nickel(II) trifluoroacetate; [1] Nickel(II) propionate; [2] Nickel bis(benzenesulfonate); [3] Nickel(II) hydrogen citrate; [4] Citric acid, ammonium nickel salt; [5] Citric acid, nickel salt; [6] Nickel bis(2-ethylhexanoate); [7] 2-Ethylhexanoic acid, Nickel salt; [8] Dimethylhexanoic acid nickel salt; [9] Nickel(II) isooctanoate; [10] Nickel isooctanoate; [11] Nickel bis(isononanoate); [12] Nickel(II) neononanoate; [13] Nickel(II) isodecanoate; [14] Nickel(II) neodecanoate; [15] Neodecanoic acid, nickel salt; [16] Nickel(II) neoundecanoate; [17] Bis(D-gluconato-O1,O2)nickel; [18] Nickel 3,5-bis(tert-butyl)-4-hydroxybenzoate (1:2); [19] Nickel(II) palmitate; [20] (2-Ethylhexanoato-O)(Isononanoato-O)nickel; [21] (Isononanoato-O)(Isooctanoato-O)nickel; [22] (Isooctanoato-O)(neodecanoato-O)nickel; [23] (2-Ethylhexanoato-O)(Isodecanoato-O)nickel; [24] (2-Ethylhexanoato-O)(Neodecanoato-O)nickel; [25] (Isodecanoato-O)(isooctanoato-O)nickel; [26] (Isodecanoato-O)(isononanoato-O)nickel; [27] (Isononanoato-O)(Neodecanoato-O)nickel; [28] fatty acids, C6-19-branched, nickel salts; [29] fatty acids, C8-18 and C18-unsaturated, nickel salts; [30] 2,7-Naphthalenedisulfonic acid, nickel(II) salt; [31]",,
Nickel(II) sulfite [1]; Nickel tellurium trioxide [2]; Nickel tellurium tetraoxide [3]; Molybdenum nickel hydroxide oxide phosphate [4],,unsafe,,Nickel(II) sulfite [1]; Nickel tellurium trioxide [2]; Nickel tellurium tetraoxide [3]; Molybdenum nickel hydroxide oxide phosphate [4],,Carcinogenic Cat. 1A()
Nickel boride (NiB) [1]; Dinickel boride [2]; Trinickel boride [3]; Nickel boride [4]; Dinickel silicide [5]; Nickel disilicide [6];Dinickel phosphide [7]; Nickel boron phosphide [8],,unsafe,,Nickel boride (NiB) [1]; Dinickel boride [2]; Trinickel boride [3]; Nickel boride [4]; Dinickel silicide [5]; Nickel disilicide [6];Dinickel phosphide [7]; Nickel boron phosphide [8],,Carcinogenic Cat. 1A()
"Dialuminium nickel tetraoxide [1]; Nickel titanium trioxide [2]; Nickel titanium oxide [3]; Nickel divanadium hexaoxide [4]; Cobalt dimolybdenum nickel octaoxide [5]; Nickel zirkonium trioxide [6]; Molybdenum nickel tetraoxide [7]; Nickel tungsten tetraoxide [8]; Olivine, nickel green [9]; Lithium nickel dioxide [10]; Molybdenum nickel oxide [11]",,unsafe,,"Dialuminium nickel tetraoxide [1]; Nickel titanium trioxide [2]; Nickel titanium oxide [3]; Nickel divanadium hexaoxide [4]; Cobalt dimolybdenum nickel octaoxide [5]; Nickel zirkonium trioxide [6]; Molybdenum nickel tetraoxide [7]; Nickel tungsten tetraoxide [8]; Olivine, nickel green [9]; Lithium nickel dioxide [10]; Molybdenum nickel oxide [11]",,Carcinogenic Cat. 1A()
Cobalt lithium nickel oxide,,unsafe,,Cobalt lithium nickel oxide,,Carcinogenic Cat. 1A()
Molybdenum trioxide,,unsafe,,Molybdenum trioxide,,Carcinogenic Cat. 2()
Dibutyltin dichloride; (DBTC),,unsafe,,Dibutyltin dichloride; (DBTC),,"Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
"4,4'-Bis(N-carbamoyl-4-methylbenzenesulfonamide)diphenylmethane",,unsafe,,"4,4'-Bis(N-carbamoyl-4-methylbenzenesulfonamide)diphenylmethane",,Carcinogenic Cat. 2()
Furfuryl alcohol,,unsafe,,Furfuryl alcohol,,Carcinogenic Cat. 2()
"1,2-Epoxy-4-epoxyethylcyclohexane; 4-vinylcyclohexene diepoxide",,unsafe,,"1,2-Epoxy-4-epoxyethylcyclohexane; 4-vinylcyclohexene diepoxide",,Carcinogenic Cat. 2()
6-Glycidyloxynapht-1-yl oxymethyloxirane,,unsafe,,6-Glycidyloxynapht-1-yl oxymethyloxirane,,Mutagenic Cat. 2()
2-(2-Aminoethylamino)ethanol; (AEEA),,unsafe,,2-(2-Aminoethylamino)ethanol; (AEEA),AMINOETHYLETHANOLAMINE,Reprotoxic Cat. 1B()
"1,2-Diethoxyethane",,unsafe,,"1,2-Diethoxyethane",,Reprotoxic Cat. 1A()
"2,3-Epoxypropyltrimethylammonium chloride; glycidyl trimethylammonium chloride",,unsafe,,"2,3-Epoxypropyltrimethylammonium chloride; glycidyl trimethylammonium chloride",23-EPOXYPROPYLTRIMONIIUM CHLORIDE,"Carcinogenic Cat. 1B(),Mutagenic Cat. 2(),Reprotoxic Cat. 2()"
"1-(2-Amino-5-chlorophenyl)-2,2,2-trifluoro-1,1-ethanediol, hydrochloride",,unsafe,,"1-(2-Amino-5-chlorophenyl)-2,2,2-trifluoro-1,1-ethanediol, hydrochloride",,Carcinogenic Cat. 1B()
(E)-3-[1-[4-[2-(Dimethylamino)ethoxy]phenyl]-2-phenylbut-1-enyl]phenol,,unsafe,,(E)-3-[1-[4-[2-(Dimethylamino)ethoxy]phenyl]-2-phenylbut-1-enyl]phenol,,"Reprotoxic Cat. 1B(),Carcinogenic Cat. 2()"
"4,4'-(1,3-Phenylene-bis(1-methylethylidene))bis-phenol",,unsafe,,"4,4'-(1,3-Phenylene-bis(1-methylethylidene))bis-phenol",,Reprotoxic Cat. 2()
2-Chloro-6-fluoro-phenol,,unsafe,,2-Chloro-6-fluoro-phenol,,"Mutagenic Cat. 1B(),Reprotoxic Cat. 2()"
2-Methyl-5-tert-butylthiophenol,,unsafe,,2-Methyl-5-tert-butylthiophenol,,Reprotoxic Cat. 2()
2-Butyryl-3-hydroxy-5-thiocyclohexan-3-yl-cyclohex-2-en-1-one,,unsafe,,2-Butyryl-3-hydroxy-5-thiocyclohexan-3-yl-cyclohex-2-en-1-one,,Reprotoxic Cat. 1B()
Profoxydim (ISO); 2-{(EZ)-1-[(2RS)-2-(4-chlorophenoxy)propoxyimino]butyl}-3-hydroxy-5-(thian-3-yl)cyclohex-2-en-1-one,,unsafe,,Profoxydim (ISO); 2-{(EZ)-1-[(2RS)-2-(4-chlorophenoxy)propoxyimino]butyl}-3-hydroxy-5-(thian-3-yl)cyclohex-2-en-1-one,,"Carcinogenic Cat. 2(),Reprotoxic Cat. 2()"
Tepraloxydim (ISO); (RS)-(EZ)-2-{1-[(2E)-3-chloroallyloxyimino]propyl}-3-hydroxy-5-perhydropyran-4-ylcyclohex-2-en-1-one,,unsafe,,Tepraloxydim (ISO); (RS)-(EZ)-2-{1-[(2E)-3-chloroallyloxyimino]propyl}-3-hydroxy-5-perhydropyran-4-ylcyclohex-2-en-1-one,,"Carcinogenic Cat. 2(),Reprotoxic Cat. 2()"
"Cyclic 3-(1,2-ethanediylacetale)-estra-5(10),9(11)-diene-3,17-dione",,unsafe,,"Cyclic 3-(1,2-ethanediylacetale)-estra-5(10),9(11)-diene-3,17-dione",,Reprotoxic Cat. 1B()
"Androsta-1,4,9(11)-triene-3,17-dione",,unsafe,,"Androsta-1,4,9(11)-triene-3,17-dione",,Reprotoxic Cat. 2()
Reaction mass of: Ca salicylates (branched C10-14 and C18-30 alkylated); Ca phenates (branched C10-14 and C18-30 alkylated); Ca sulfurised phenates (branched C10-14 and C18-30 alkylated),,unsafe,,Reaction mass of: Ca salicylates (branched C10-14 and C18-30 alkylated); Ca phenates (branched C10-14 and C18-30 alkylated); Ca sulfurised phenates (branched C10-14 and C18-30 alkylated),,Reprotoxic Cat. 2()
"1,2-Benzenedicarboxylic acid; di-C6-8-branched alkylesters, C7-rich",,unsafe,,"1,2-Benzenedicarboxylic acid; di-C6-8-branched alkylesters, C7-rich",,Reprotoxic Cat. 1B()
"Reaction mass of: diester of 4,4'-methylenebis[2-(2-hydroxy-5-methylbenzyl)-3,6-dimethylphenol] and 6-diazo-5,6-dihydro-5-oxonaphthalene-1-sulfonic acid (1:2); triester of 4,4'-methylenebis[2-(2-hydroxy-5-methylbenzyl)-3,6-dimethylphenol] and 6-diazo-5,6-dihydro-5-oxonaphthalene-1-sulfonic acid (1:3)",,unsafe,,"Reaction mass of: diester of 4,4'-methylenebis[2-(2-hydroxy-5-methylbenzyl)-3,6-dimethylphenol] and 6-diazo-5,6-dihydro-5-oxonaphthalene-1-sulfonic acid (1:2); triester of 4,4'-methylenebis[2-(2-hydroxy-5-methylbenzyl)-3,6-dimethylphenol] and 6-diazo-5,6-dihydro-5-oxonaphthalene-1-sulfonic acid (1:3)",,Carcinogenic Cat. 2()
"Diammonium 1-hydroxy-2-(4-(4-carboxyphenylazo)-2,5-dimethoxyphenylazo)-7-amino-3-naphthalenesulfonate",,unsafe,,"Diammonium 1-hydroxy-2-(4-(4-carboxyphenylazo)-2,5-dimethoxyphenylazo)-7-amino-3-naphthalenesulfonate",,Reprotoxic Cat. 2()
3-Oxoandrost-4-ene-17-ß-carboxylic acid,,unsafe,,3-Oxoandrost-4-ene-17-ß-carboxylic acid,,Reprotoxic Cat. 2()
(Z)-2-Methoxymino-2-[2-(tritylamino)thiazol-4-yl]acetic acid,,unsafe,,(Z)-2-Methoxymino-2-[2-(tritylamino)thiazol-4-yl]acetic acid,,Carcinogenic Cat. 2()
Trisodium nitrilotriacetate,,unsafe,"Opinion on the new classification of substances as carcinogenic, mutagenic or toxic to reproduction according to the Commission Regulation 790/2009,Opinion on Trisodium nitrilotriacetate",Trisodium nitrilotriacetate,TRISODIUM NTA,Carcinogenic Cat. 2()
2-Ethylhexyl-2-ethylhexanoate,,unsafe,,2-Ethylhexyl-2-ethylhexanoate,ETHYLHEXYL ETHYLHEXANOATE,Reprotoxic Cat. 2()
