,chemical name inn,sccs opinions,chemical iupac name,identified ingredient substance,cmr
1372,3 and 4-(4-Hydroxy-4-methylpentyl)cyclohex-3-ene-1-carbaldehyde,"Opinion on Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde (Lyral),Opinion on Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde (Lyral),Opinion concerning Essential Oils,Opinion concerning Fragrance Allergy in Consumers - A Review of the Problem -
Analysis of the need for appropriate Consumer Information and Identification of Consumer Allergens,Opinion concerning the Interim Position on Fragrance Allergy,Memorandum on the SCCNFP Opinion concerning Fragrance Allergy",3- and 4-(4-Hydroxy-4-methylpentyl) cyclohex-3-ene-1-carbaldehyde (HICC),HYDROXYISOHEXYL 3-CYCLOHEXENE CARBOXALDEHYDE,
1373,"2,6-Dihydroxy-4-methyl-benzaldehyde (atranol)",,"2,6-Dihydroxy-4-methyl-benzaldehyde (atranol)",,
1374,"3-Chloro-2,6-Dihydroxy-4-methyl-benzaldehyde (chloroatranol)(*)",,"3-Chloro-2,6-Dihydroxy-4-methyl-benzaldehyde (chloroatranol)",,
1375,"Tagetes erecta flower extract, Tagetes erecta flower oil",,"Tagetes erecta flower extract, Tagetes erecta flower oil",,
1376,"2-chlorobenzene-1,4-diamine (2-Chloro-p-Phenylenediamine), its sulfate and dihydrochloride salts when used as a substance in hair dye products, including eyebrow dye products, and eyelash dye products",,"2-chlorobenzene-1,4-diamine (2-Chloro-p-Phenylenediamine), its sulfate and dihydrochloride salts when used as a substance in hair dye products, including eyebrow dye products, and eyelash dye products",,
1377,"Cis-1-(3-chloroallyl)-3,5,7- triaza-1-azoniaadamantane chloride (cis-CTAC)","Opinion on the new classification of substances as carcinogenic, mutagenic or toxic to reproduction according to the Commission Regulation 790/2009,Opinion on Quaternium-15","Cis-1-(3-chloroallyl)-3,5,7- triaza-1-azoniaadamantane chloride (cis-CTAC)",QUATERNIUM-15,
1378,"Cis-1-(3-chlorallyl)-3,5,7-triaza-1-azoniaadamantane chloride (cis-CTAC), quaternium-15","Opinion on the new classification of substances as carcinogenic, mutagenic or toxic to reproduction according to the Commission Regulation 790/2009,Opinion on Quaternium-15","Cis-1-(3-chlorallyl)-3,5,7-triaza-1-azoniaadamantane chloride (cis-CTAC), quaternium-15",,
1379,2-Chloracetamide,Opinion on Chloroacetamide,2-Chloracetamide,CHLOROACETAMIDE,Reprotoxic Cat. 2()
1380,Octamethylcyclotetrasiloxane; D4,"Opinion on Octamethylcyclotetrasiloxane (D4),Opinion on Cyclomethicone: D4 and D5",Octamethylcyclotetrasiloxane; D4,CYCLOMETHICONE,Reprotoxic Cat. 2()
1381,Dichloromethane; methylene chloride,,Dichloromethane; methylene chloride,DICHLOROMETHANE46-DIMETHYL-PYRAN-2-ONE,Carcinogenic Cat. 2()
1382,"2,2'-((3,3',5,5'-Tetramethyl-(1,1'-biphenyl)-4,4'-diyl)-bis(oxymethylene))-bis-oxirane",,"2,2'-((3,3',5,5'-Tetramethyl-(1,1'-biphenyl)-4,4'-diyl)-bis(oxymethylene))-bis-oxirane",,Carcinogenic Cat. 2()
1383,Acetaldehyde; ethanal,Opinion concerning Acetaldehyde,Acetaldehyde; ethanal,ACETALDEHYDE,"Carcinogenic Cat. 1B(),Mutagenic Cat. 2()"
1384,"1-Cyclopropyl-6,7-difluoro-1,4-dihydro-4-oxoquinoline-3-carboxylic acid",,"1-Cyclopropyl-6,7-difluoro-1,4-dihydro-4-oxoquinoline-3-carboxylic acid",,Reprotoxic Cat. 2()
1385,N-Methyl-2-pyrrolidone; 1-methyl-2-pyrrolidone,Opinion on  N-Methyl-2-pyrrolidone NMP,N-Methyl-2-pyrrolidone; 1-methyl-2-pyrrolidone,METHYL PYRROLIDONE,Reprotoxic Cat. 1B()
1386,Diboron trioxide; boric oxide,,Diboron trioxide; boric oxide,,Reprotoxic Cat. 1B()
1387,"Boric acid [1];
Boric acid [2]","Opinion on Boric acid, Borates and Tetraborates,Opinion on Sodium Perborate and Perboric Acid","Boric acid [1];
Boric acid [2]",,
1388,"Borates, tetraborates, octaborates and boric acid salts and esters, including:
Disodium octaborate anhydrous [1]
Disodium octaborate tetrahydrate [2]
2-Aminoethanol, monoester with boric acid [3]
2-Hydroxypropyl ammonium dihydrogen orthoborate [4]
Potassium borate, boric acid potassium salt [5]
Trioctyldodecyl borate [6]
Zinc borate [7]
Sodium borate, disodium tetraborate anhydrous; boric acid, sodium salt [8]
Tetraboron disodium heptaoxide, hydrate [9]
Orthoboric acid, sodium salt [10]
Disodium tetraborate decahydrate; borax decahydrate [11]
Disodium tetraborate pentahydrate; borax pentahydrate [12]",,,MEA-BORATEMIPA-BORATEPHENYL MERCURIC BORATEPOTASSIUM BORATESODIUM BORATESODIUM PERBORATETRIOCTYLDODECYL BORATEZINC BORATECALCIUM FRUCTOBORATEPOTASSIUM ASCORBYLBORATESODIUM FRUCTOBORATEPOTASSIUM FRUCTOBORATEMAGNESIUM ASCORBYLBORATE,
1389,"Sodium perborate [1];
Sodium peroxometaborate; sodium peroxoborate [2]",Opinion on Sodium Perborate and Perboric Acid,"Sodium perborate [1];
Sodium peroxometaborate; sodium peroxoborate [2]",SODIUM PERBORATE,Reprotoxic Cat. 1B()
1390,"Perboric acid (H3BO2(O2)), monosodium salt trihydrate [1];
Perboric acid, sodium salt, tetrahydrate [2];
Perboric acid (HBO(O2)), sodium salt, tetrahydrate sodium peroxoborate hexahydrate [3]",,"Perboric acid (H3BO2(O2)), monosodium salt trihydrate [1];
Perboric acid, sodium salt, tetrahydrate [2];
Perboric acid (HBO(O2)), sodium salt, tetrahydrate sodium peroxoborate hexahydrate [3]",,
1391,"Perboric acid, sodium salt [1];
Perboric acid, sodium salt, monohydrate [2];
Perboric acid (HBO(O2)), sodium salt, monohydrate [3]",,"Perboric acid, sodium salt [1];
Perboric acid, sodium salt, monohydrate [2];
Perboric acid (HBO(O2)), sodium salt, monohydrate [3]",,
1392,Dibutyltin hydrogen borate,,Dibutyltin hydrogen borate,,"Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
1393,Nickel bis(tetrafluoroborate),,Nickel bis(tetrafluoroborate),,"Carcinogenic Cat. 1A(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
1394,Mancozeb (ISO); manganese ethylenebis(dithiocarbamate) (polymeric) complex with zinc salt,,Mancozeb (ISO); manganese ethylenebis(dithiocarbamate) (polymeric) complex with zinc salt,,Reprotoxic Cat. 2()
1395,Maneb (ISO); manganese ethylenebis(dithiocarbamate) (polymeric),,Maneb (ISO); manganese ethylenebis(dithiocarbamate) (polymeric),,Reprotoxic Cat. 2()
1396,"Benfuracarb (ISO); ethyl N-[2,3-dihydro-2,2-dimethylbenzofuran-7-yloxycarbonyl(methyl)aminothio]-N-isopropyl- ß-alaninate",,"Benfuracarb (ISO); ethyl N-[2,3-dihydro-2,2-dimethylbenzofuran-7-yloxycarbonyl(methyl)aminothio]-N-isopropyl- ß-alaninate",,Reprotoxic Cat. 2()
1397,O-Isobutyl-N-ethoxy carbonylthiocarbamate,,O-Isobutyl-N-ethoxy carbonylthiocarbamate,,"Carcinogenic Cat. 1B(),Mutagenic Cat. 1B()"
1398,Chlorpropham (ISO); isopropyl 3-chlorocarbanilate,,Chlorpropham (ISO); isopropyl 3-chlorocarbanilate,,Carcinogenic Cat. 2()
1399,O-Hexyl-N-ethoxycarbonylthiocarbamate,,O-Hexyl-N-ethoxycarbonylthiocarbamate,,"Carcinogenic Cat. 1B(),Mutagenic Cat. 1B()"
1400,Hydroxylammonium nitrate,,Hydroxylammonium nitrate,,Carcinogenic Cat. 2()
1401,(4-Ethoxyphenyl)(3-(4-fluoro-3-phenoxyphenyl)propyl)dimethylsilane,,(4-Ethoxyphenyl)(3-(4-fluoro-3-phenoxyphenyl)propyl)dimethylsilane,,Reprotoxic Cat. 1B()
1402,Phoxim (ISO); a-(diethoxy-phosphinothioylimino) phenylacetonitrile,,Phoxim (ISO); a-(diethoxy-phosphinothioylimino) phenylacetonitrile,,Reprotoxic Cat. 2()
1403,Glufosinate ammonium (ISO); ammonium 2-amino-4-(hydroxymethylphosphinyl)butyrate,,Glufosinate ammonium (ISO); ammonium 2-amino-4-(hydroxymethylphosphinyl)butyrate,,Reprotoxic Cat. 1B()
1404,Reaction mass of: dimethyl (2-(hydroxymethylcarbamoyl)ethyl)phosphonate; diethyl (2-(hydroxymethylcarbamoyl)ethyl)phosphonate; methyl ethyl (2-(hydroxymethylcarbamoyl)ethyl)phosphonate,,Reaction mass of: dimethyl (2-(hydroxymethylcarbamoyl)ethyl)phosphonate; diethyl (2-(hydroxymethylcarbamoyl)ethyl)phosphonate; methyl ethyl (2-(hydroxymethylcarbamoyl)ethyl)phosphonate,,"Carcinogenic Cat. 1B(),Mutagenic Cat. 1B()"
1405,(4-Phenylbutyl)phosphinic acid,,(4-Phenylbutyl)phosphinic acid,,Carcinogenic Cat. 2()
1406,"Reaction mass of: 4,7-bis(mercaptomethyl)-3,6,9-trithia-1,11-undecanedithiol; 4,8-bis(mercaptomethyl)-3,6,9-trithia-1,11-undecanedithiol; 5,7-bis(mercaptomethyl)-3,6,9-trithia-1,11-undecanedithiol",,"Reaction mass of: 4,7-bis(mercaptomethyl)-3,6,9-trithia-1,11-undecanedithiol; 4,8-bis(mercaptomethyl)-3,6,9-trithia-1,11-undecanedithiol; 5,7-bis(mercaptomethyl)-3,6,9-trithia-1,11-undecanedithiol",,Reprotoxic Cat. 2()
1407,Potassium titanium oxide (K2Ti6O13),,Potassium titanium oxide (K2Ti6O13),,Carcinogenic Cat. 2()
1408,Cobalt di(acetate),,Cobalt di(acetate),,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
1409,Cobalt dinitrate,,Cobalt dinitrate,,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
1410,Cobalt carbonate,,Cobalt carbonate,,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
1411,Nickel dichloride,,Nickel dichloride,,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
1412,"Nickel dinitrate [1];
Nitric acid, nickel salt [2]",,"Nickel dinitrate [1];
Nitric acid, nickel salt [2]",,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
1413,Nickel matte,,Nickel matte,,Carcinogenic Cat. 1A()
1414,"Slimes and sludges, copper electrolytic refining, decopperised, nickel sulfate",,"Slimes and sludges, copper electrolytic refining, decopperised, nickel sulfate",,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
1415,"Slimes and sludges, copper electrolyte refining, decopperised",,"Slimes and sludges, copper electrolyte refining, decopperised",,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
1416,"Nickel diperchlorate; perchloric acid, nickel(II) salt",,"Nickel diperchlorate; perchloric acid, nickel(II) salt",,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
1417,"Nickel dipotassium bis(sulfate) [1];
Diammonium nickel bis(sulfate) [2]",,"Nickel dipotassium bis(sulfate) [1];
Diammonium nickel bis(sulfate) [2]",,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
1418,Nickel bis(sulfamidate); nickel sulfamate,,Nickel bis(sulfamidate); nickel sulfamate,,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
1419,"Nickel diformate [1];
Formic acid, nickel salt [2];
Formic acid, copper nickel salt  [3]",,"Nickel diformate [1];
Formic acid, nickel salt [2];
Formic acid, copper nickel salt  [3]",,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
1420,"Nickel di(acetate) [1];
Nickel acetate [2]",,"Nickel di(acetate) [1];
Nickel acetate [2]",,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
1421,Nickel dibenzoate,,Nickel dibenzoate,,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
1422,Nickel bis(4-cyclohexylbutyrate),,Nickel bis(4-cyclohexylbutyrate),,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
1423,Nickel(II) stearate; nickel(II) octadecanoate,,Nickel(II) stearate; nickel(II) octadecanoate,,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
1424,Nickel dilactate,,Nickel dilactate,,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
1425,Nickel(II) octanoate,,Nickel(II) octanoate,,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
1426,"Nickel difluoride [1];
Nickel dibromide [2];
Nickel diiodide [3];
Nickel potassium fluoride  [4]",,"Nickel difluoride [1];
Nickel dibromide [2];
Nickel diiodide [3];
Nickel potassium fluoride  [4]",,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
1427,Nickel hexafluorosilicate,,Nickel hexafluorosilicate,,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
1428,Nickel selenate,,Nickel selenate,,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
1429,"Nickel hydrogen phosphate [1];
Nickel bis(dihydrogen phosphate) [2];
Trinickel bis(orthophosphate) [3];
Dinickel diphosphate [4];
Nickel bis(phosphinate) [5];
Nickel phosphinate [6];
Phosphoric acid, calcium nickel salt [7];
Diphosphoric acid, nickel(II) salt  [8]",,"Nickel hydrogen phosphate [1];
Nickel bis(dihydrogen phosphate) [2];
Trinickel bis(orthophosphate) [3];
Dinickel diphosphate [4];
Nickel bis(phosphinate) [5];
Nickel phosphinate [6];
Phosphoric acid, calcium nickel salt [7];
Diphosphoric acid, nickel(II) salt  [8]",,Carcinogenic Cat. 1A()
1430,Diammonium nickel hexacyanoferrate,,Diammonium nickel hexacyanoferrate,,Carcinogenic Cat. 1A()
1431,Nickel dicyanide,,Nickel dicyanide,,Carcinogenic Cat. 1A()
1432,Nickel chromate,,Nickel chromate,,Carcinogenic Cat. 1A()
1433,"Nickel(II) silicate [1];
Dinickel orthosilicate [2];
Nickel silicate (3:4) [3];
Silicic acid, nickel salt [4];
Trihydrogen hydroxybis[orthosilicato(4-)]trinickelate(3-)  [5]",,"Nickel(II) silicate [1];
Dinickel orthosilicate [2];
Nickel silicate (3:4) [3];
Silicic acid, nickel salt [4];
Trihydrogen hydroxybis[orthosilicato(4-)]trinickelate(3-)  [5]",,Carcinogenic Cat. 1A()
1434,Dinickel hexacyanoferrate,,Dinickel hexacyanoferrate,,Carcinogenic Cat. 1A()
1435,Trinickel bis(arsenate); nickel(II) arsenate,,Trinickel bis(arsenate); nickel(II) arsenate,,Carcinogenic Cat. 1A()
1436,"Nickel oxalate [1];
Oxalic acid, nickel salt  [2]",,"Nickel oxalate [1];
Oxalic acid, nickel salt  [2]",,Carcinogenic Cat. 1A()
1437,Nickel telluride,,Nickel telluride,,Carcinogenic Cat. 1A()
1438,Trinickel tetrasulfide,,Trinickel tetrasulfide,,Carcinogenic Cat. 1A()
1439,Trinickel bis(arsenite),,Trinickel bis(arsenite),,Carcinogenic Cat. 1A()
1440,"Cobalt nickel gray periclase; C.I. Pigment Black 25; C.I. 77332 [1];
Cobalt nickel dioxide [2];
Cobalt nickel oxide  [3];
Nickel arsenide [2]",,"Cobalt nickel gray periclase; C.I. Pigment Black 25; C.I. 77332 [1];
Cobalt nickel dioxide [2];
Cobalt nickel oxide  [3];
Nickel arsenide [2]",,Carcinogenic Cat. 1A()
1441,Nickel tin trioxide; nickel stannate,,Nickel tin trioxide; nickel stannate,,Carcinogenic Cat. 1A()
1442,Nickel triuranium decaoxide,,Nickel triuranium decaoxide,,Carcinogenic Cat. 1A()
1443,Nickel dithiocyanate,,Nickel dithiocyanate,,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
1444,Nickel dichromate,,Nickel dichromate,,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
1445,Nickel(II) selenite,,Nickel(II) selenite,,Carcinogenic Cat. 1A()
1446,Nickel selenide,,Nickel selenide,,Carcinogenic Cat. 1A()
1447,"Silicic acid, lead nickel salt",,"Silicic acid, lead nickel salt",,"Carcinogenic Cat. 1A(),Reprotoxic Cat. 1A()"
1448,Nickel diarsenide [1]; Nickel arsenide [2],,Nickel diarsenide [1]; Nickel arsenide [2],,Carcinogenic Cat. 1A()
1449,Nickel barium titanium primrose priderite; C.I. Pigment Yellow 157; C.I. 77900,,Nickel barium titanium primrose priderite; C.I. Pigment Yellow 157; C.I. 77900,,Carcinogenic Cat. 1A()
1450,"Nickel dichlorate [1];
Nickel dibromate [2];
Ethyl hydrogen sulfate, nickel(II) salt [3]",,"Nickel dichlorate [1];
Nickel dibromate [2];
Ethyl hydrogen sulfate, nickel(II) salt [3]",,"Carcinogenic Cat. 1B(),Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
1451,"Nickel(II) trifluoroacetate; [1] Nickel(II) propionate; [2] Nickel bis(benzenesulfonate); [3] Nickel(II) hydrogen citrate; [4] Citric acid, ammonium nickel salt; [5] Citric acid, nickel salt; [6] Nickel bis(2-ethylhexanoate); [7] 2-Ethylhexanoic acid, Nickel salt; [8] Dimethylhexanoic acid nickel salt; [9] Nickel(II) isooctanoate; [10] Nickel isooctanoate; [11] Nickel bis(isononanoate); [12] Nickel(II) neononanoate; [13] Nickel(II) isodecanoate; [14] Nickel(II) neodecanoate; [15] Neodecanoic acid, nickel salt; [16] Nickel(II) neoundecanoate; [17] Bis(D-gluconato-O1,O2)nickel; [18] Nickel 3,5-bis(tert-butyl)-4-hydroxybenzoate (1:2); [19] Nickel(II) palmitate; [20] (2-Ethylhexanoato-O)(Isononanoato-O)nickel; [21] (Isononanoato-O)(Isooctanoato-O)nickel; [22] (Isooctanoato-O)(neodecanoato-O)nickel; [23] (2-Ethylhexanoato-O)(Isodecanoato-O)nickel; [24] (2-Ethylhexanoato-O)(Neodecanoato-O)nickel; [25] (Isodecanoato-O)(isooctanoato-O)nickel; [26] (Isodecanoato-O)(isononanoato-O)nickel; [27] (Isononanoato-O)(Neodecanoato-O)nickel; [28] fatty acids, C6-19-branched, nickel salts; [29] fatty acids, C8-18 and C18-unsaturated, nickel salts; [30] 2,7-Naphthalenedisulfonic acid, nickel(II) salt; [31]",,"Nickel(II) trifluoroacetate; [1] Nickel(II) propionate; [2] Nickel bis(benzenesulfonate); [3] Nickel(II) hydrogen citrate; [4] Citric acid, ammonium nickel salt; [5] Citric acid, nickel salt; [6] Nickel bis(2-ethylhexanoate); [7] 2-Ethylhexanoic acid, Nickel salt; [8] Dimethylhexanoic acid nickel salt; [9] Nickel(II) isooctanoate; [10] Nickel isooctanoate; [11] Nickel bis(isononanoate); [12] Nickel(II) neononanoate; [13] Nickel(II) isodecanoate; [14] Nickel(II) neodecanoate; [15] Neodecanoic acid, nickel salt; [16] Nickel(II) neoundecanoate; [17] Bis(D-gluconato-O1,O2)nickel; [18] Nickel 3,5-bis(tert-butyl)-4-hydroxybenzoate (1:2); [19] Nickel(II) palmitate; [20] (2-Ethylhexanoato-O)(Isononanoato-O)nickel; [21] (Isononanoato-O)(Isooctanoato-O)nickel; [22] (Isooctanoato-O)(neodecanoato-O)nickel; [23] (2-Ethylhexanoato-O)(Isodecanoato-O)nickel; [24] (2-Ethylhexanoato-O)(Neodecanoato-O)nickel; [25] (Isodecanoato-O)(isooctanoato-O)nickel; [26] (Isodecanoato-O)(isononanoato-O)nickel; [27] (Isononanoato-O)(Neodecanoato-O)nickel; [28] fatty acids, C6-19-branched, nickel salts; [29] fatty acids, C8-18 and C18-unsaturated, nickel salts; [30] 2,7-Naphthalenedisulfonic acid, nickel(II) salt; [31]",,
1452,Nickel(II) sulfite [1]; Nickel tellurium trioxide [2]; Nickel tellurium tetraoxide [3]; Molybdenum nickel hydroxide oxide phosphate [4],,Nickel(II) sulfite [1]; Nickel tellurium trioxide [2]; Nickel tellurium tetraoxide [3]; Molybdenum nickel hydroxide oxide phosphate [4],,Carcinogenic Cat. 1A()
1453,Nickel boride (NiB) [1]; Dinickel boride [2]; Trinickel boride [3]; Nickel boride [4]; Dinickel silicide [5]; Nickel disilicide [6];Dinickel phosphide [7]; Nickel boron phosphide [8],,Nickel boride (NiB) [1]; Dinickel boride [2]; Trinickel boride [3]; Nickel boride [4]; Dinickel silicide [5]; Nickel disilicide [6];Dinickel phosphide [7]; Nickel boron phosphide [8],,Carcinogenic Cat. 1A()
1454,"Dialuminium nickel tetraoxide [1]; Nickel titanium trioxide [2]; Nickel titanium oxide [3]; Nickel divanadium hexaoxide [4]; Cobalt dimolybdenum nickel octaoxide [5]; Nickel zirkonium trioxide [6]; Molybdenum nickel tetraoxide [7]; Nickel tungsten tetraoxide [8]; Olivine, nickel green [9]; Lithium nickel dioxide [10]; Molybdenum nickel oxide [11]",,"Dialuminium nickel tetraoxide [1]; Nickel titanium trioxide [2]; Nickel titanium oxide [3]; Nickel divanadium hexaoxide [4]; Cobalt dimolybdenum nickel octaoxide [5]; Nickel zirkonium trioxide [6]; Molybdenum nickel tetraoxide [7]; Nickel tungsten tetraoxide [8]; Olivine, nickel green [9]; Lithium nickel dioxide [10]; Molybdenum nickel oxide [11]",,Carcinogenic Cat. 1A()
1455,Cobalt lithium nickel oxide,,Cobalt lithium nickel oxide,,Carcinogenic Cat. 1A()
1456,Molybdenum trioxide,,Molybdenum trioxide,,Carcinogenic Cat. 2()
1457,Dibutyltin dichloride; (DBTC),,Dibutyltin dichloride; (DBTC),,"Reprotoxic Cat. 1B(),Mutagenic Cat. 2()"
1458,"4,4'-Bis(N-carbamoyl-4-methylbenzenesulfonamide)diphenylmethane",,"4,4'-Bis(N-carbamoyl-4-methylbenzenesulfonamide)diphenylmethane",,Carcinogenic Cat. 2()
1459,Furfuryl alcohol,,Furfuryl alcohol,,Carcinogenic Cat. 2()
1460,"1,2-Epoxy-4-epoxyethylcyclohexane; 4-vinylcyclohexene diepoxide",,"1,2-Epoxy-4-epoxyethylcyclohexane; 4-vinylcyclohexene diepoxide",,Carcinogenic Cat. 2()
1461,6-Glycidyloxynapht-1-yl oxymethyloxirane,,6-Glycidyloxynapht-1-yl oxymethyloxirane,,Mutagenic Cat. 2()
1462,2-(2-Aminoethylamino)ethanol; (AEEA),,2-(2-Aminoethylamino)ethanol; (AEEA),AMINOETHYLETHANOLAMINE,Reprotoxic Cat. 1B()
1463,"1,2-Diethoxyethane",,"1,2-Diethoxyethane",,Reprotoxic Cat. 1A()
1464,"2,3-Epoxypropyltrimethylammonium chloride; glycidyl trimethylammonium chloride",,"2,3-Epoxypropyltrimethylammonium chloride; glycidyl trimethylammonium chloride",23-EPOXYPROPYLTRIMONIIUM CHLORIDE,"Carcinogenic Cat. 1B(),Mutagenic Cat. 2(),Reprotoxic Cat. 2()"
1465,"1-(2-Amino-5-chlorophenyl)-2,2,2-trifluoro-1,1-ethanediol, hydrochloride",,"1-(2-Amino-5-chlorophenyl)-2,2,2-trifluoro-1,1-ethanediol, hydrochloride",,Carcinogenic Cat. 1B()
1466,(E)-3-[1-[4-[2-(Dimethylamino)ethoxy]phenyl]-2-phenylbut-1-enyl]phenol,,(E)-3-[1-[4-[2-(Dimethylamino)ethoxy]phenyl]-2-phenylbut-1-enyl]phenol,,"Reprotoxic Cat. 1B(),Carcinogenic Cat. 2()"
1467,"4,4'-(1,3-Phenylene-bis(1-methylethylidene))bis-phenol",,"4,4'-(1,3-Phenylene-bis(1-methylethylidene))bis-phenol",,Reprotoxic Cat. 2()
1468,2-Chloro-6-fluoro-phenol,,2-Chloro-6-fluoro-phenol,,"Mutagenic Cat. 1B(),Reprotoxic Cat. 2()"
1469,2-Methyl-5-tert-butylthiophenol,,2-Methyl-5-tert-butylthiophenol,,Reprotoxic Cat. 2()
1470,2-Butyryl-3-hydroxy-5-thiocyclohexan-3-yl-cyclohex-2-en-1-one,,2-Butyryl-3-hydroxy-5-thiocyclohexan-3-yl-cyclohex-2-en-1-one,,Reprotoxic Cat. 1B()
1471,Profoxydim (ISO); 2-{(EZ)-1-[(2RS)-2-(4-chlorophenoxy)propoxyimino]butyl}-3-hydroxy-5-(thian-3-yl)cyclohex-2-en-1-one,,Profoxydim (ISO); 2-{(EZ)-1-[(2RS)-2-(4-chlorophenoxy)propoxyimino]butyl}-3-hydroxy-5-(thian-3-yl)cyclohex-2-en-1-one,,"Carcinogenic Cat. 2(),Reprotoxic Cat. 2()"
1472,Tepraloxydim (ISO); (RS)-(EZ)-2-{1-[(2E)-3-chloroallyloxyimino]propyl}-3-hydroxy-5-perhydropyran-4-ylcyclohex-2-en-1-one,,Tepraloxydim (ISO); (RS)-(EZ)-2-{1-[(2E)-3-chloroallyloxyimino]propyl}-3-hydroxy-5-perhydropyran-4-ylcyclohex-2-en-1-one,,"Carcinogenic Cat. 2(),Reprotoxic Cat. 2()"
1473,"Cyclic 3-(1,2-ethanediylacetale)-estra-5(10),9(11)-diene-3,17-dione",,"Cyclic 3-(1,2-ethanediylacetale)-estra-5(10),9(11)-diene-3,17-dione",,Reprotoxic Cat. 1B()
1474,"Androsta-1,4,9(11)-triene-3,17-dione",,"Androsta-1,4,9(11)-triene-3,17-dione",,Reprotoxic Cat. 2()
1475,Reaction mass of: Ca salicylates (branched C10-14 and C18-30 alkylated); Ca phenates (branched C10-14 and C18-30 alkylated); Ca sulfurised phenates (branched C10-14 and C18-30 alkylated),,Reaction mass of: Ca salicylates (branched C10-14 and C18-30 alkylated); Ca phenates (branched C10-14 and C18-30 alkylated); Ca sulfurised phenates (branched C10-14 and C18-30 alkylated),,Reprotoxic Cat. 2()
1476,"1,2-Benzenedicarboxylic acid; di-C6-8-branched alkylesters, C7-rich",,"1,2-Benzenedicarboxylic acid; di-C6-8-branched alkylesters, C7-rich",,Reprotoxic Cat. 1B()
1477,"Reaction mass of: diester of 4,4'-methylenebis[2-(2-hydroxy-5-methylbenzyl)-3,6-dimethylphenol] and 6-diazo-5,6-dihydro-5-oxonaphthalene-1-sulfonic acid (1:2); triester of 4,4'-methylenebis[2-(2-hydroxy-5-methylbenzyl)-3,6-dimethylphenol] and 6-diazo-5,6-dihydro-5-oxonaphthalene-1-sulfonic acid (1:3)",,"Reaction mass of: diester of 4,4'-methylenebis[2-(2-hydroxy-5-methylbenzyl)-3,6-dimethylphenol] and 6-diazo-5,6-dihydro-5-oxonaphthalene-1-sulfonic acid (1:2); triester of 4,4'-methylenebis[2-(2-hydroxy-5-methylbenzyl)-3,6-dimethylphenol] and 6-diazo-5,6-dihydro-5-oxonaphthalene-1-sulfonic acid (1:3)",,Carcinogenic Cat. 2()
1478,"Diammonium 1-hydroxy-2-(4-(4-carboxyphenylazo)-2,5-dimethoxyphenylazo)-7-amino-3-naphthalenesulfonate",,"Diammonium 1-hydroxy-2-(4-(4-carboxyphenylazo)-2,5-dimethoxyphenylazo)-7-amino-3-naphthalenesulfonate",,Reprotoxic Cat. 2()
1479,3-Oxoandrost-4-ene-17-ß-carboxylic acid,,3-Oxoandrost-4-ene-17-ß-carboxylic acid,,Reprotoxic Cat. 2()
1480,(Z)-2-Methoxymino-2-[2-(tritylamino)thiazol-4-yl]acetic acid,,(Z)-2-Methoxymino-2-[2-(tritylamino)thiazol-4-yl]acetic acid,,Carcinogenic Cat. 2()
